,words,bow
1710,vthế,2
1711,khung,82
1712,nón,42
1713,xecó,2
1714,sâu,114
1715,milkshake,8
1716,square,4
1717,khăn,182
1718,okgia,2
1719,ali,2
1720,toncafe,2
1721,re,244
1722,xực,4
1723,trình,26
1724,potato,6
1725,nhac,2
1726,chesecakes,4
1727,mõ,2
1728,dùm,6
1729,chẹp,74
1730,phú,58
1731,tim,68
1732,voulez,4
1733,left,4
1734,hông,220
1735,lớn,1114
1736,duong,10
1737,gym,2
1738,thật,1300
1739,sped,2
1740,phố,494
1741,kakaka,6
1742,chòn,2
1743,duyên,54
1744,ngáo,2
1745,from,50
1746,ngonhưng,2
1747,bằng,1496
1748,bh,6
1749,ygọi,2
1750,insidious,2
1751,chọ,2
1752,hungry,2
1753,xoa,14
1754,jacks,2
1755,zalo,2
1756,shares,2
1757,ngây,4
1758,lại,11810
1759,shrimp,10
1760,cali,2
1761,khu,1402
1762,giảm,842
1763,táo,260
1764,luônbước,2
1765,pg,22
1766,lý,114
1767,dân,372
1768,lữ,2
1769,giày,26
1770,khánh,16
1771,store,4
1772,hancok,2
1773,vỗ,4
1774,rác,52
1775,dĩa,72
1776,cug,4
1777,pasport,2
1778,lẫy,2
1779,hí,74
1780,customers,2
1781,rob,2
1782,fruity,2
1783,seoni,2
1784,ayuki,2
1785,quần,14
1786,tuoi,4
1787,thầm,4
1788,phầnmột,2
1789,croisant,2
1790,gen,4
1791,tên,1014
1792,cokiefe,2
1793,lựu,52
1794,java,4
1795,phượng,6
1796,giọng,88
1797,vang,100
1798,kho,424
1799,citrus,2
1800,quyển,36
1801,uoc,2
1802,as,84
1803,nhavề,2
1804,buza,2
1805,wp,2
1806,cupcakes,2
1807,rao,2
1808,imperial,6
1809,vê,24
1810,recomend,38
1811,cựcnhìn,2
1812,nhìu,72
1813,lưu,70
1814,nêm,564
1815,gạch,88
1816,hôg,2
1817,nhiệm,6
1818,mâý,2
1819,zamky,2
1820,sật,12
1821,tan,408
1822,cari,8
1823,thời,138
1824,nhưg,16
1825,quạn,2
1826,dàng,2
1827,chô,70
1828,xèo,6
1829,israel,2
1830,london,8
1831,si,12
1832,bời,2
1833,chọe,2
1834,dụng,10
1835,kháchthức,2
1836,phiếu,160
1837,mặt,580
1838,inch,4
1839,hé,10
1840,sỉ,2
1841,wonderful,2
1842,display,2
1843,phủ,218
1844,above,4
1845,bí,100
1846,yna,2
1847,striploin,4
1848,phê,30
1849,lenon,2
1850,bad,6
1851,your,38
1852,phần,3796
1853,anime,8
1854,mr,60
1855,such,18
1856,nana,4
1857,die,2
1858,một,6216
1859,giấy,222
1860,hostel,4
1861,biển,582
1862,ks,6
1863,ever,2
1864,thủy,10
1865,mong,302
1866,one,90
1867,dango,2
1868,hihi,74
1869,expensive,6
1870,quét,24
1871,coconut,6
1872,reviews,10
1873,mỡ,354
1874,mười,14
1875,thanks,6
1876,chickenteriaki,2
1877,hũ,2
1878,cảnh,388
1879,stil,2
1880,nguyện,6
1881,sợi,354
1882,dđường,2
1883,conan,12
1884,ecard,14
1885,chiết,4
1886,uy,2
1887,nếu,2466
1888,wody,2
1889,ngon,32588
1890,nedles,2
1891,mắt,384
1892,cang,20
1893,meitu,2
1894,sớm,552
1895,gorgonzola,2
1896,tín,4
1897,pctrinh,2
1898,sale,6
1899,nâng,30
1900,xả,192
1901,tận,558
1902,nữađang,2
1903,fruz,2
1904,riêg,2
1905,stafs,2
1906,tauhu,2
1907,chủ,3916
1908,vội,48
1909,alot,2
1910,lãm,4
1911,nga,224
1912,khâu,100
1913,lu,220
1914,diferent,4
1915,fat,2
1916,chicken,36
1917,stone,6
1918,ghi,260
1919,fù,2
1920,mail,4
1921,mậu,2
1922,chội,8
1923,bobapop,6
1924,khoan,8
1925,kamakura,4
1926,ysư,2
1927,cuộc,44
1928,vần,8
1929,kung,4
1930,areas,2
1931,trg,6
1932,bứng,2
1933,tg,2
1934,tinh,98
1935,bắc,214
1936,amazing,4
1937,năng,70
1938,qu,2
1939,gân,96
1940,măm,40
1941,bulgogi,10
1942,php,2
1943,open,16
1944,his,10
1945,nhà,3102
1946,miễn,262
1947,chư,140
1948,trug,4
1949,ktay,4
1950,dầy,8
1951,board,8
1952,tđược,2
1953,kép,8
1954,haki,12
1955,liệt,4
1956,lồng,44
1957,tuổi,180
1958,xênh,2
1959,chắc,2208
1960,bruele,4
1961,acoustic,2
1962,hia,4
1963,ordered,8
1964,thus,2
1965,philipin,2
1966,pà,4
1967,hem,4
1968,kid,2
1969,tú,6
1970,hàm,20
1971,khảo,2
1972,giữacác,2
1973,coctail,6
1974,mimosa,2
1975,deck,2
1976,vịt,350
1977,lần,9382
1978,those,2
1979,desert,18
1980,cal,2
1981,dầu,216
1982,café,32
1983,pha,1142
1984,báh,2
1985,pie,10
1986,pin,12
1987,chia,274
1988,chiu,2
1989,tinyurl,2
1990,nối,6
1991,perfect,4
1992,dao,70
1993,font,2
1994,tot,2
1995,strawbery,14
1996,chocomint,2
1997,sandwich,6
1998,thềm,6
1999,cỡ,278
2000,laptop,2
2001,chế,76
2002,boy,18
2003,nhồi,30
2004,fil,2
2005,suachuanepcam,4
2006,trág,2
2007,vực,8
2008,crumb,2
2009,brand,2
2010,signature,4
2011,hcm,72
2012,caled,2
2013,trachanh,4
2014,bật,198
2015,bistrot,2
2016,tokyo,48
2017,matsuri,2
2018,bích,6
2019,súng,26
2020,rucola,4
2021,mesa,8
2022,thây,4
2023,tgian,2
2024,dứa,144
2025,sesame,6
2026,what,16
2027,ng,20396
2028,body,28
2029,giao,540
2030,số,894
2031,nhầm,186
2032,sexy,2
2033,their,16
2034,banme,2
2035,thom,4
2036,ios,2
2037,chan,74
2038,suc,2
2039,fen,2
2040,rắc,82
2041,health,4
2042,nhan,48
2043,ngươi,12
2044,hơ,32
2045,ymẫu,2
2046,sựt,20
2047,gan,132
2048,poster,16
2049,quài,20
2050,balanced,2
2051,gate,2
2052,sugar,4
2053,iểm,120
2054,about,28
2055,island,6
2056,khoá,42
2057,khuyến,6
2058,bailey,6
2059,alfresco,6
2060,vắt,68
2061,bat,4
2062,xắt,66
2063,lúp,4
2064,tuâ,22
2065,khác,4542
2066,marukame,2
2067,giam,12
2068,nhau,902
2069,nhựa,82
2070,mọi,1926
2071,toà,80
2072,xầm,2
2073,bòcác,2
2074,men,38
2075,dồng,2
2076,north,2
2077,rõ,432
2078,hiehie,2
2079,dorayaki,6
2080,yokoso,6
2081,ordinary,2
2082,kham,8
2083,boys,2
2084,bọ,6
2085,tật,6
2086,orange,20
2087,rảnh,12
2088,jun,12
2089,cok,4
2090,popeyes,2
2091,hie,2
2092,cày,4
2093,kv,6
2094,hơt,2
2095,chẹpmón,2
2096,nát,44
2097,refil,8
2098,mc,36
2099,xương,232
2100,hnhư,2
2101,thi,1732
2102,huongmaicafe,2
2103,around,24
2104,thâm,8
2105,her,6
2106,cota,118
2107,hoai,2
2108,cozy,4
2109,dọn,258
2110,fastfod,6
2111,ngqua,2
2112,mê,732
2113,sưng,6
2114,ngất,2
2115,yaogurt,2
2116,score,4
2117,nhể,2
2118,thẻ,464
2119,clif,2
2120,thập,14
2121,pesto,4
2122,we,80
2123,diner,8
2124,boat,2
2125,bs,2
2126,mik,2
2127,ybị,2
2128,without,8
2129,dương,68
2130,tasty,6
2131,clubhnay,2
2132,order,1412
2133,hamburger,8
2134,hạm,4
2135,bt,190
2136,ca,1738
2137,sur,2
2138,option,8
2139,mui,2
2140,nhìêu,2
2141,lén,6
2142,bung,4
2143,thâu,2
2144,trưởng,6
2145,sái,2
2146,mont,2
2147,diêu,8
2148,tràng,18
2149,places,16
2150,hspa,2
2151,this,174
2152,nữamình,2
2153,recomending,2
2154,crusine,2
2155,dream,4
2156,tắc,94
2157,scotland,2
2158,texas,52
2159,pecastore,2
2160,xuâ,2
2161,mãn,24
2162,roi,18
2163,niềm,26
2164,ngta,2
2165,trĩ,2
2166,sakura,70
2167,koreanfod,4
2168,súp,446
2169,khoi,2
2170,nhém,2
2171,york,2
2172,tào,2
2173,dữ,68
2174,rài,2
2175,ngư,20
2176,betola,2
2177,giòmón,2
2178,gateau,6
2179,ki,94
2180,think,8
2181,rib,2
2182,taco,4
2183,uô,114
2184,chicago,6
2185,huê,6
2186,nghenhôm,2
2187,phạt,4
2188,dừa,912
2189,bậy,2
2190,riết,10
2191,quới,2
2192,refiled,2
2193,hinabe,2
2194,vintage,12
2195,hongkong,6
2196,couse,2
2197,lai,124
2198,blueocean,2
2199,phương,54
2200,nữađi,2
2201,hoen,2
2202,samsung,12
2203,des,6
2204,days,6
2205,vẻ,130
2206,moriwase,2
2207,creambrule,2
2208,vào,7596
2209,valentine,2
2210,aen,2
2211,reo,2
2212,second,6
2213,mother,2
2214,ngom,2
2215,bái,8
2216,khớp,2
2217,dô,4
2218,hễ,20
2219,chính,740
2220,lã,4
2221,fe,10
2222,mía,96
2223,ynơi,2
2224,màn,38
2225,cái,6070
2226,xát,4
2227,miễng,2
2228,tofu,8
2229,rồi,7104
2230,palace,2
2231,nhatính,2
2232,ghoulish,2
2233,cũn,2
2234,ktrà,2
2235,night,14
2236,domino,4
2237,tỏa,2
2238,mù,38
2239,mảnh,14
2240,quanan,2
2241,diệp,12
2242,chúa,26
2243,cháy,358
2244,gumy,4
2245,hài,48
2246,nuixaobo,2
2247,nàoquán,2
2248,til,2
2249,ngonkem,2
2250,vila,2
2251,trệt,2
2252,savoury,2
2253,products,2
2254,vốn,108
2255,blended,16
2256,bạc,78
2257,rồng,90
2258,hop,30
2259,drama,4
2260,chim,88
2261,iếu,2
2262,basic,2
2263,thẳng,212
2264,ny,2
2265,chips,2
2266,quỹ,2
2267,kông,2
2268,major,2
2269,gây,190
2270,phẩm,20
2271,chíu,2
2272,vò,10
2273,mariot,4
2274,chatluong,4
2275,bone,2
2276,orisoy,2
2277,thống,2
2278,bil,6
2279,trũng,2
2280,cáp,50
2281,mixed,4
2282,win,2
2283,dynamic,2
2284,photos,4
2285,nchă,2
2286,chẽ,2
2287,thuận,22
2288,mipec,2
2289,ap,16
2290,noen,2
2291,shenshi,2
2292,vú,86
2293,thượng,50
2294,chipa,2
2295,nương,24
2296,tắm,276
2297,chặt,102
2298,alo,6
2299,khuya,8
2300,nhi,278
2301,german,2
2302,hung,10
2303,couldnt,2
2304,rừng,154
2305,moriawase,4
2306,title,2
2307,xỉa,4
2308,top,52
2309,suki,16
2310,htps,6
2311,treasures,2
2312,bmc,2
2313,benep,2
2314,ref,2
2315,gònkem,2
2316,hồng,338
2317,cồ,4
2318,sương,94
2319,tuna,4
2320,nhưngphải,2
2321,thich,6
2322,cào,12
2323,xuồng,12
2324,bớt,134
2325,bình,362
2326,hạp,12
2327,tiệm,646
2328,mb,4
2329,cus,2
2330,decided,2
2331,chậc,2
2332,huy,16
2333,củ,358
2334,smothies,12
2335,that,78
2336,gương,58
2337,gư,6
2338,wow,2
2339,xa,1008
2340,great,70
2341,khuyết,4
2342,tróc,2
2343,chiler,4
2344,vụnhanh,2
2345,luôncó,2
2346,sả,138
2347,guy,2
2348,hsv,4
2349,italy,2
2350,quy,30
2351,pad,8
2352,ngục,2
2353,xốp,178
2354,tuyet,8
2355,aus,2
2356,sky,4
2357,glaze,2
2358,rổi,2
2359,loa,166
2360,ngủ,218
2361,lat,2
2362,scenery,2
2363,wán,6
2364,hề,550
2365,cựu,4
2366,seling,2
2367,gục,2
2368,hoà,48
2369,who,16
2370,garden,42
2371,chât,2
2372,xỉnh,4
2373,xịt,4
2374,cuô,14
2375,ngột,2
2376,oil,2
2377,trư,42
2378,expected,2
2379,bami,6
2380,bok,18
2381,dj,118
2382,sửa,74
2383,ngong,2
2384,cân,108
2385,rạch,8
2386,dạy,52
2387,rí,2
2388,soft,12
2389,nhã,10
2390,nhốt,4
2391,sting,14
2392,tuệ,2
2393,nhieu,4
2394,texture,2
2395,sận,2
2396,nữapiza,2
2397,chose,4
2398,hót,2
2399,alice,24
2400,visit,8
2401,side,24
2402,bianinhbinh,2
2403,guys,6
2404,hardwel,2
2405,bán,2566
2406,chùm,30
2407,nghiêng,6
2408,hăng,4
2409,ngòi,8
2410,meal,6
2411,giá,7928
2412,xẻ,8
2413,qtqd,2
2414,calogen,2
2415,rỉnh,2
2416,phổ,10
2417,chó,120
2418,am,148
2419,nhưn,2
2420,côg,2
2421,hana,2
2422,crumble,2
2423,chất,974
2424,phân,40
2425,ze,6
2426,hoan,2
2427,mạch,8
2428,tacanh,2
2429,lyn,2
2430,key,4
2431,vòm,12
2432,nutela,2
2433,maviên,2
2434,bẹ,2
2435,tầg,4
2436,kiệt,28
2437,ilike,2
2438,heheđúng,2
2439,nữamấy,2
2440,botanica,2
2441,chửi,2
2442,luc,14
2443,how,8
2444,kblue,2
2445,cực,2858
2446,rãh,2
2447,packed,2
2448,restaurants,4
2449,trà,7798
2450,vượt,26
2451,drink,20
2452,vối,2
2453,ngeu,2
2454,thơmvà,2
2455,mẩu,16
2456,kén,68
2457,vegetable,2
2458,handrol,2
2459,wish,2
2460,dòm,4
2461,vù,2
2462,thấp,122
2463,bùi,96
2464,sét,12
2465,diểm,2
2466,sea,8
2467,tròi,2
2468,quẻ,8
2469,gòn,134
2470,cài,12
2471,qay,2
2472,job,2
2473,cad,2
2474,ráng,4
2475,cấp,134
2476,sịn,6
2477,vật,44
2478,sờ,2
2479,tùng,6
2480,min,14
2481,hỏa,4
2482,hổi,4
2483,họp,228
2484,understod,2
2485,website,20
2486,bóc,26
2487,rụng,12
2488,ság,4
2489,phuc,12
2490,cười,448
2491,sỏi,6
2492,ngpn,2
2493,sợ,656
2494,dieu,6
2495,purin,2
2496,sample,2
2497,fried,8
2498,quoc,8
2499,taste,4
2500,be,280
2501,lều,66
2502,rời,42
2503,chộp,4
2504,tonkatsu,6
2505,warabi,2
2506,noel,164
2507,dặn,104
2508,sủi,8
2509,máp,2
2510,rainbow,8
2511,restaurant,16
2512,ke,104
2513,ná,4
2514,lí,18
2515,ribs,6
2516,vâ,18
2517,mộ,4
2518,quẹt,4
2519,chẹ,2
2520,dabaohanquoc,2
2521,master,10
2522,company,14
2523,sươ,8
2524,thic,4
2525,candy,4
2526,do,1994
2527,mừ,2
2528,dragon,4
2529,kishin,2
2530,kèn,6
2531,mí,2
2532,mỳ,1036
2533,gyoza,4
2534,cam,274
2535,hinh,26
2536,nữatrời,2
2537,ngonvì,2
2538,suite,2
2539,alpha,4
2540,khám,18
2541,malaysia,6
2542,nuô,2
2543,toán,6
2544,ngtra,2
2545,pepsi,20
2546,liều,8
2547,email,6
2548,luônvi,2
2549,uối,2
2550,tem,6
2551,icecream,12
2552,lim,2
2553,trê,6
2554,sui,2
2555,sợt,2
2556,triều,8
2557,chống,34
2558,chú,638
2559,urban,4
2560,rơ,2
2561,nă,22
2562,giai,20
2563,trục,28
2564,ha,566
2565,cướp,8
2566,kỉ,38
2567,bef,30
2568,eye,26
2569,khién,2
2570,tưởng,468
2571,chinh,10
2572,dâu,616
2573,vui,1068
2574,fine,2
2575,lách,4
2576,nhma,2
2577,blaở,2
2578,corp,2
2579,ri,34
2580,lằn,2
2581,nén,10
2582,thứ,2056
2583,mcdonald,2
2584,nến,84
2585,trách,18
2586,hưởng,68
2587,place,184
2588,lùn,8
2589,asian,2
2590,zúng,2
2591,natcha,2
2592,felt,2
2593,sát,182
2594,khen,702
2595,bun,4
2596,tua,2
2597,thac,2
2598,mầm,30
2599,lượn,50
2600,mal,42
2601,gập,2
2602,cộng,756
2603,viê,20
2604,creative,2
2605,friendly,12
2606,cuộn,620
2607,chè,634
2608,cự,6
2609,lecatien,2
2610,milvio,2
2611,ghé,4970
2612,lườn,28
2613,cồn,44
2614,thanh,742
2615,rack,2
2616,mợng,2
2617,chil,6
2618,luật,2
2619,lau,122
2620,zai,4
2621,kingbq,2
2622,hsau,2
2623,pot,8
2624,cream,110
2625,pm,38
2626,tei,2
2627,served,2
2628,trai,120
2629,tr,124
2630,ghép,22
2631,various,2
2632,ofer,4
2633,world,16
2634,tm,28
2635,unc,2
2636,nhữ,2
2637,tv,48
2638,lumos,2
2639,mưa,696
2640,nhúng,198
2641,sour,2
2642,view,1574
2643,mojito,26
2644,mè,6
2645,hjhj,6
2646,vovantan,2
2647,sáng,1176
2648,nhé,2744
2649,salat,12
2650,nz,2
2651,tok,28
2652,ptính,2
2653,vera,4
2654,bôi,6
2655,rìa,2
2656,choux,2
2657,cảo,244
2658,hồi,768
2659,cậu,50
2660,anywhere,2
2661,cùng,1806
2662,vong,4
2663,salad,152
2664,niê,2
2665,tôi,1058
2666,nẵng,10
2667,mocktail,4
2668,ech,4
2669,cám,8
2670,corn,6
2671,rịa,4
2672,hon,12
2673,khácvì,2
2674,frehôm,2
2675,vĩnh,6
2676,dimsum,14
2677,dr,2
2678,sỹ,20
2679,binh,16
2680,sashimi,54
2681,còn,9132
2682,space,26
2683,minutes,2
2684,nhen,4
2685,xơ,20
2686,mẫy,2
2687,walk,2
2688,parabon,2
2689,paradise,2
2690,rate,4
2691,nhum,4
2692,htp,6
2693,luong,18
2694,namunamu,2
2695,gateaux,2
2696,iêu,2
2697,dish,2
2698,cúi,2
2699,hangout,4
2700,dốc,66
2701,cointreau,4
2702,ni,106
2703,hiden,2
2704,inhj,2
2705,vani,24
2706,tì,2
2707,awesome,4
2708,hàu,12
2709,dặm,2
2710,iểu,4
2711,màu,1072
2712,chôm,4
2713,deal,2
2714,im,8
2715,partners,2
2716,cnươ,2
2717,chiken,2
2718,lekeke,2
2719,tart,14
2720,bày,458
2721,steak,48
2722,ngẫm,2
2723,nchuyen,2
2724,zui,12
2725,trồng,62
2726,local,20
2727,phàm,2
2728,trò,94
2729,afternon,4
2730,iceblender,2
2731,atiso,2
2732,spot,2
2733,thaong,2
2734,nhỉnh,2
2735,cứng,258
2736,ngọn,48
2737,bãi,240
2738,ak,178
2739,quế,176
2740,lào,10
2741,enough,4
2742,phiêu,20
2743,cốt,142
2744,mhuwngx,2
2745,aeon,36
2746,whiping,4
2747,yaour,2
2748,already,2
2749,yaourt,22
2750,hồ,712
2751,cừ,4
2752,flowers,2
2753,giờ,1556
2754,bát,490
2755,refreshing,2
2756,sh,4
2757,khan,6
2758,mức,362
2759,uổi,2
2760,mat,12
2761,bó,34
2762,hẵn,2
2763,dẻo,500
2764,hq,4
2765,chestnut,2
2766,thuờg,2
2767,bai,2
2768,bếp,358
2769,trụng,2
2770,tours,2
2771,bửn,2
2772,hox,2
2773,lười,6
2774,xvi,2
2775,cựcsốt,2
2776,ink,2
2777,complan,2
2778,later,6
2779,grentea,6
2780,múa,20
2781,ngợt,2
2782,cuốn,582
2783,giư,14
2784,nh,5082
2785,phình,4
2786,mọc,78
2787,năm,810
2788,comnam,2
2789,giưpj,2
2790,mường,4
2791,tuy,1318
2792,nuong,18
2793,sam,32
2794,cố,76
2795,ten,236
2796,vuông,26
2797,tường,388
2798,tỏi,308
2799,person,2
2800,cap,8
2801,trasuaphuphomai,2
2802,trăm,62
2803,yose,2
2804,ngoe,2
2805,gala,2
2806,tựa,26
2807,vd,2
2808,canbery,4
2809,thỉnh,6
2810,chìm,20
2811,kiwibánh,2
2812,tata,2
2813,milktea,4
2814,kimpap,6
2815,gạo,302
2816,hủy,2
2817,tình,174
2818,nguồn,42
2819,priced,6
2820,mời,348
2821,relationship,2
2822,phái,4
2823,gionhubanhquy,2
2824,lanh,26
2825,lót,56
2826,soạn,2
2827,tonic,2
2828,vespa,2
2829,queto,2
2830,thoại,4
2831,thitnuonghanquoc,2
2832,biểu,2
2833,nhanviendethuong,2
2834,ngonmèo,2
2835,mofcafe,2
2836,cạch,2
2837,trúc,24
2838,hipy,2
2839,mốt,64
2840,khí,70
2841,freship,2
2842,xop,2
2843,khứ,2
2844,hun,32
2845,binhba,2
2846,lòng,424
2847,huyết,28
2848,vết,10
2849,just,56
2850,mùng,94
2851,ngi,2
2852,cạn,22
2853,course,4
2854,no,3130
2855,mạn,8
2856,vợ,42
2857,nguơ,2
2858,măng,50
2859,recomended,18
2860,rhum,2
2861,gê,2
2862,viếng,10
2863,bỏng,42
2864,chức,6
2865,trứng,1612
2866,bẻ,10
2867,gònđặt,2
2868,hap,2
2869,hầu,6
2870,flavour,6
2871,dính,82
2872,waitres,2
2873,sul,10
2874,vừng,22
2875,thường,990
2876,nl,2
2877,quệt,6
2878,pcâ,2
2879,ngơ,10
2880,bin,2
2881,gin,4
2882,chén,518
2883,vodka,6
2884,tuần,1520
2885,thui,22
2886,masa,2
2887,oto,2
2888,timescity,2
2889,chậm,334
2890,có,32684
2891,layers,2
2892,thiếu,236
2893,sống,298
2894,naruto,2
2895,pricesi,2
2896,lít,32
2897,uốnh,2
2898,rủi,2
2899,oán,26
2900,khiêm,2
2901,danh,46
2902,hưng,24
2903,year,6
2904,nồi,326
2905,ruột,438
2906,cupcake,32
2907,taken,2
2908,zới,4
2909,chung,1018
2910,nghĩ,1004
2911,okgiá,2
2912,chỗ,5208
2913,trơ,20
2914,nhừ,4
2915,toàng,2
2916,pv,6
2917,lì,2
2918,nổi,554
2919,ing,4
2920,phép,10
2921,bút,14
2922,baotucahaptieu,2
2923,hàng,1370
2924,smart,6
2925,plan,110
2926,coi,460
2927,sơn,70
2928,sạc,6
2929,bề,12
2930,strip,4
2931,chớp,4
2932,dance,4
2933,choi,4
2934,xoẹt,4
2935,digital,2
2936,duck,2
2937,túi,248
2938,hoang,4
2939,hatdieungon,2
2940,vậy,1374
2941,cặp,202
2942,actualy,2
2943,hjx,2
2944,orion,4
2945,cảnhưng,2
2946,ngừng,32
2947,khâm,6
2948,kute,4
2949,mực,664
2950,while,2
2951,bây,6
2952,sắt,44
2953,stop,2
2954,giốg,2
2955,gas,2
2956,vanila,16
2957,eyes,6
2958,hấp,378
2959,nà,84
2960,why,12
2961,yo,2
2962,sân,350
2963,nữabữa,2
2964,kẻo,2
2965,lẻ,50
2966,tải,12
2967,vinanuts,2
2968,hét,2
2969,thê,204
2970,fruit,18
2971,bunmamchay,2
2972,sô,246
2973,thâyd,2
2974,giáng,4
2975,vặt,32
2976,và,32428
2977,me,426
2978,extreme,2
2979,anchay,2
2980,oh,24
2981,khoa,64
2982,thiệp,4
2983,tằng,2
2984,să,14
2985,ofice,2
2986,max,84
2987,okay,8
2988,oder,6
2989,bửu,12
2990,deluxe,2
2991,guide,6
2992,designed,4
2993,scop,2
2994,quyet,2
2995,hotel,10
2996,protein,6
2997,thuy,2
2998,phó,2
2999,cháo,514
3000,lắp,38
3001,rat,12
3002,hoangha,2
3003,soba,2
3004,bar,430
3005,campo,2
3006,henxucbanhda,2
3007,vn,228
3008,hầm,196
3009,dấm,4
3010,scofe,2
3011,hug,2
3012,prime,2
3013,haz,2
3014,below,2
3015,memory,2
3016,superbowl,2
3017,trảng,2
3018,tarte,2
3019,children,4
3020,tosta,2
3021,trễ,180
3022,hỗ,4
3023,pasteur,2
3024,nệm,2
3025,lưa,8
3026,lasi,2
3027,ngân,14
3028,kahlua,2
3029,bean,14
3030,xiu,14
3031,suô,2
3032,pages,2
3033,lọt,26
3034,hahaha,2
3035,tphcm,2
3036,nuớc,4
3037,thương,436
3038,xăm,10
3039,bốc,60
3040,ct,20
3041,americano,2
3042,capichino,2
3043,dã,20
3044,windy,2
3045,rãi,14
3046,dế,2
3047,chiều,932
3048,ngừoi,2
3049,vai,44
3050,monson,2
3051,yên,188
3052,thu,218
3053,ngôi,132
3054,nhueng,2
3055,trua,2
3056,rày,2
3057,fish,10
3058,tien,14
3059,chê,1686
3060,xây,88
3061,quatro,2
3062,thgian,2
3063,suối,106
3064,almost,4
3065,khè,2
3066,shave,2
3067,comfortable,4
3068,kiniem,2
3069,pesi,2
3070,rưới,10
3071,goes,2
3072,kíp,4
3073,pảk,2
3074,bân,4
3075,huô,2
3076,gỏi,420
3077,khiả,2
3078,kỷ,16
3079,chồi,2
3080,forget,2
3081,thần,24
3082,thùng,44
3083,bọn,536
3084,bp,2
3085,mă,72
3086,phở,20
3087,chebuoi,2
3088,huân,2
3089,tuấn,8
3090,chảy,260
3091,rộng,1560
3092,nốt,64
3093,nướng,4260
3094,gudnite,2
3095,hl,6
3096,takeawy,2
3097,recently,2
3098,lasagna,4
3099,vẹt,16
3100,lảng,2
3101,háquán,2
3102,chuyen,8
3103,rom,42
3104,keng,2
3105,cốm,2
3106,giáo,8
3107,hãng,26
3108,lady,14
3109,carot,2
3110,tươ,26
3111,hồn,32
3112,giơf,2
3113,sauna,2
3114,vượng,2
3115,cẩm,12
3116,mami,2
3117,câ,18
3118,gieo,2
3119,youth,2
3120,km,146
3121,cận,8
3122,mufin,8
3123,ngừi,2
3124,yoguit,2
3125,sẻ,8
3126,nhập,160
3127,riềng,6
3128,ngắt,10
3129,kemngon,2
3130,cd,4
3131,trích,4
3132,thù,16
3133,chỉ,5880
3134,japanese,34
3135,plaza,6
3136,zành,2
3137,linh,44
3138,teacher,2
3139,quyên,8
3140,gợi,26
3141,phấn,24
3142,cholesterol,2
3143,buy,2
3144,yagout,4
3145,kutoe,2
3146,vừa,6428
3147,lunch,20
3148,bơi,282
3149,trâu,42
3150,ngốc,2
3151,cider,2
3152,spring,2
3153,nt,4
3154,gặp,494
3155,sauce,30
3156,life,10
3157,mắtbánh,2
3158,panacota,10
3159,ngot,6
3160,day,86
3161,khâ,14
3162,fifa,2
3163,pleasure,2
3164,khóimón,2
3165,style,98
3166,chiên,2112
3167,slightly,2
3168,mờ,38
3169,seing,4
3170,diên,2
3171,rạo,4
3172,centre,4
3173,nghiê,4
3174,realy,10
3175,uhouse,2
3176,xác,36
3177,kimbab,6
3178,thang,36
3179,thể,208
3180,chảnh,10
3181,banhtrangtoi,2
3182,vũ,8
3183,brilant,2
3184,house,56
3185,chồn,2
3186,relax,4
3187,cau,34
3188,ngại,296
3189,nghề,34
3190,buồn,202
3191,rượu,360
3192,quỷ,2
3193,luôncòn,2
3194,gđinh,2
3195,double,28
3196,sáp,14
3197,mối,18
3198,vác,22
3199,town,12
3200,bùn,66
3201,miê,60
3202,cajun,2
3203,somerset,2
3204,solutionhapy,2
3205,hanh,10
3206,nhak,2
3207,lối,186
3208,mì,2208
3209,macadamia,2
3210,ngoan,8
3211,nam,448
3212,original,6
3213,ròn,8
3214,industry,2
3215,rol,16
3216,giã,26
3217,comtam,2
3218,facial,2
3219,html,2
3220,iceblended,2
3221,bigc,2
3222,tuột,2
3223,coming,2
3224,cũ,374
3225,tat,2
3226,sprite,2
3227,near,8
3228,diện,18
3229,cokiescapuchinotrà,2
3230,silver,2
3231,tách,184
3232,eat,4
3233,vơi,4
3234,taxi,2
3235,vote,6
3236,hey,2
3237,acousticlivemusic,2
3238,chuyê,6
3239,cuối,1066
3240,bé,912
3241,these,4
3242,rưỡi,38
3243,kì,104
3244,rủ,6
3245,hit,6
3246,warm,10
3247,cổmình,2
3248,lag,4
3249,ngàn,136
3250,coloring,2
3251,beautifulplace,2
3252,avocado,4
3253,cf,26
3254,buồm,2
3255,hoaqua,2
3256,fody,50
3257,clb,20
3258,pho,132
3259,húc,6
3260,ngừ,2
3261,bridge,2
3262,oá,2
3263,vững,16
3264,botle,4
3265,thyme,2
3266,truyê,8
3267,milk,28
3268,fingerbánh,2
3269,on,122
3270,sườn,672
3271,thằn,2
3272,cụng,2
3273,miện,6
3274,dặt,2
3275,aple,12
3276,lặp,12
3277,chum,4
3278,wraped,2
3279,cưỡi,2
3280,trí,474
3281,oreo,18
3282,lươn,152
3283,dạng,274
3284,vời,102
3285,trọng,28
3286,xuống,724
3287,xanh,2082
3288,típ,4
3289,sánh,52
3290,delicious,10
3291,bud,6
3292,specialied,2
3293,muc,2
3294,xì,102
3295,hour,8
3296,xuôi,8
3297,nhãn,100
3298,right,22
